Customer Name ,Customer Inventory ID ,Security Policy ,Technical Specification ,Server Name ,Server IP ,Operating System ,Section ID ,Section Heading ,System Value Parameter ,Description ,Agreed Value ,Current Value ,Output Result ,Severity ,Scandate ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.7 ,Configure Special Purpose Services ,Ensure ftp server services are not in use ,FTP is a traditional and widely used protocol used for file transfer which transmits data in clear text and should not be used ,FTP server package must not be installed ,vsftpd package is not installed Output : package vsftpd is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.1 ,Configure Special Purpose Services ,Ensure autofs services are not in use ,Autofs allows automatic mounting of devices such as USB drives and network shares ,autofs package must not be installed ,autofs package is not installed Output : package autofs is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.16 ,Configure Special Purpose Services ,Ensure telnet server services are not in use ,The telnet-server package contains the telnet daemon which allows remote login using the insecure telnet protocol ,telnet-server package must not be installed ,telnet-server package is not installed Output : package telnet-server is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.9 ,Configure Special Purpose Services ,Ensure network file system services are not in use ,NFS provides the ability for systems to mount file systems from remote servers across the network ,nfs-utils package must not be installed or nfs-server.service must be disabled ,nfs-utils installed but nfs-server.service is not enabled and not active Output : package=nfs-utils-2.3.3-59.el8.x86_64 enabled=disabled active=inactive ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.20 ,Configure Special Purpose Services ,Ensure xinetd services are not in use ,xinetd is a super-server daemon used to manage network services such as telnet ftp and others ,xinetd package must not be installed ,xinetd package is not installed Output : package xinetd is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.18 ,Configure Special Purpose Services ,Ensure web proxy server services are not in use ,Squid is a web proxy server used for caching and forwarding HTTP requests ,squid package must not be installed ,squid package is not installed Output : package squid is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.12 ,Configure Special Purpose Services ,Ensure rpcbind services are not in use ,The rpcbind service maps RPC services to network ports and should not run unless required by NFS or similar services ,rpcbind package must not be installed ,rpcbind installed and rpcbind.socket or rpcbind.service is enabled or active Output : package=rpcbind-1.2.5-10.el8.x86_64 socket_enabled=enabled service_enabled=enabled socket_active=active service_active=active ,KO ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.2 ,Configure Special Purpose Services ,Ensure avahi daemon services are not in use ,Avahi provides service discovery on local networks using multicast DNS ,avahi package must not be installed ,avahi installed and avahi-daemon.socket or avahi-daemon.service is enabled or active Output : package=avahi-0.7-27.el8.x86_64 socket_enabled=enabled service_enabled=enabled socket_active=active service_active=active ,KO ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.13 ,Configure Special Purpose Services ,Ensure rsync services are not in use ,rsync daemon allows file synchronization between systems over the network ,rsync-daemon package must not be installed ,rsync-daemon package is not installed Output : package rsync-daemon is not installed ,OK ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
Oxxo ,BAMFFA6000 ,CSD v4.0 ,Linux RHEL 8 CIS v4.0.0 ,kynrhel8-jump01 ,172.25.18.151 ,Red Hat Enterprise Linux release 8.10 (Ootpa) ,2.1.11 ,Configure Special Purpose Services ,Ensure print server services are not in use ,CUPS provides printing services for local and network printers ,cups package must not be installed ,cups installed and cups.socket or cups.service is enabled or active Output : package=cups-2.2.6-57.el8.x86_64 socket_enabled=enabled service_enabled=enabled socket_active=active service_active=active ,KO ,Critical ,Wed Aug 5 23:58:21 IST 2026 ,,
