FQDN:kynubuntu24 ,,,,
ACCOUNT:Oxxo ,,,,
ACCOUNT BAMID:20072026 ,,,,
CIS Benchmark Version: 1.0.0 ,,,,
Scan Date: 2026-07-20 ,,,,
Time-Stamp: 15:18:48 ,,,,
IP-ADDRESS:172.25.52.179/20 ,,,,
OS-NAME: Ubuntu_24.04.4_LTS ,,,,
Scan Version: V1.0 ,,,,
********************************************************,,,,
SECTION-ID,SECTION-HEADING,SYSTEM-VALUE/PARAMETER,CURRENT-VALUE,TEST-RESULT
1.1.1.1,Initial Setup / Configure Filesystem Kernel Modules,Ensure cramfs kernel module is not available.,cramfs kernel module is available or loadable.,No
1.1.1.2,Initial Setup / Configure Filesystem Kernel Modules,Ensure freevxfs kernel module is not available.,freevxfs kernel module is available or loadable.,No
1.1.1.3,Initial Setup / Configure Filesystem Kernel Modules,Ensure hfs kernel module is not available.,hfs kernel module is available or loadable.,No
1.1.1.4,Initial Setup / Configure Filesystem Kernel Modules,Ensure hfsplus kernel module is not available.,hfsplus kernel module is available or loadable.,No
1.1.1.5,Initial Setup / Configure Filesystem Kernel Modules,Ensure jffs2 kernel module is not available.,jffs2 kernel module is available or loadable.,No
1.1.1.9,Initial Setup / Configure Filesystem Kernel Modules,Ensure usb-storage kernel module is not available.,usb-storage kernel module is available or loadable.,No
1.1.2.1.1,Initial Setup / Configure Filesystem Partitions,Ensure /tmp is tmpfs or a separate partition., /tmp is mounted. tmp.mount status: generated.,Yes
1.1.2.1.2,Initial Setup / Configure Filesystem Partitions,Ensure nodev option set on /tmp partition.,nodev option is not set for /tmp mount.,No
1.1.2.1.3,Initial Setup / Configure Filesystem Partitions,Ensure nosuid option set on /tmp partition.,nosuid option is not set for /tmp mount.,No
1.1.2.1.4,Initial Setup / Configure Filesystem Partitions,Ensure noexec option set on /tmp partition.,noexec option is not set for /tmp mount.,No
1.1.2.2.1,Initial Setup / Configure Filesystem Partitions,Ensure /dev/shm is tmpfs or a separate partition.,/dev/shm is mounted as tmpfs.,Yes
1.1.2.2.2,Initial Setup / Configure Filesystem Partitions,Ensure nodev option set on /dev/shm partition.,nodev option is set for /dev/shm mount.,Yes
1.1.2.2.3,Initial Setup / Configure Filesystem Partitions,Ensure nosuid option set on /dev/shm partition.,nosuid option is set for /dev/shm mount.,Yes
1.1.2.2.4,Initial Setup / Configure Filesystem Partitions,Ensure noexec option set on /dev/shm partition.,noexec option is not set for /dev/shm mount.,No
1.1.2.3.2,Initial Setup / Configure Filesystem Partitions,Ensure nodev option set on /home partition.,nodev option is not set for /home mount.,No
1.1.2.3.3,Initial Setup / Configure Filesystem Partitions,Ensure nosuid option set on /home partition.,nosuid option is not set for /home mount.,No
1.1.2.4.2,Initial Setup / Configure Filesystem Partitions,Ensure nodev option set on /var partition.,nodev option is not set for /var mount.,No
1.1.2.4.3,Initial Setup / Configure Filesystem Partitions,Ensure nosuid option set on /var partition.,nosuid option is not set for /var mount.,No
1.1.2.5.2,Initial Setup / Configure Filesystem Partitions,Ensure nodev option set on /var/tmp partition.,nodev option is not set for /var/tmp mount.,No
1.1.2.5.3,Initial Setup / Configure Filesystem Partitions,Ensure nosuid option set on /var/tmp partition.,nosuid option is not set for /var/tmp mount.,No
1.1.2.5.4,Initial Setup / Configure Filesystem Partitions,Ensure noexec option set on /var/tmp partition.,noexec option is not set for /var/tmp mount.,No
1.1.2.6.2,Initial Setup / Configure Filesystem Partitions,Ensure nodev option set on /var/log partition.,nodev option is not set for /var/log mount.,No
1.1.2.6.3,Initial Setup / Configure Filesystem Partitions,Ensure nosuid option set on /var/log partition.,nosuid option is not set for /var/log mount.,No
1.1.2.6.4,Initial Setup / Configure Filesystem Partitions,Ensure noexec option set on /var/log partition.,noexec option is not set for /var/log mount.,No
1.1.2.7.2,Initial Setup / Configure Filesystem Partitions,Ensure nodev option set on /var/log/audit partition.,nodev option is not set on /var/log/audit.,No
1.1.2.7.3,Initial Setup / Configure Filesystem Partitions,Ensure nosuid option set on /var/log/audit partition.,nosuid option is not set on /var/log/audit.,No
1.1.2.7.4,Initial Setup / Configure Filesystem Partitions,Ensure noexec option set on /var/log/audit partition.,noexec option is not set on /var/log/audit.,No
1.3.1.1,Initial Setup / Mandatory Access Control,Ensure the apparmor packages are installed., apparmor-utils is NOT installed.,No
