"Package Name","Target Version","CVE IDs Fixed"
"NetworkManager","1.54.3-3.el9_8","CVE-2025-9615"
"NetworkManager-cloud-setup","1.54.3-3.el9_8","CVE-2025-9615"
"NetworkManager-libnm","1.54.3-3.el9_8","CVE-2025-9615"
"NetworkManager-team","1.54.3-3.el9_8","CVE-2025-9615"
"NetworkManager-tui","1.54.3-3.el9_8","CVE-2025-9615"
"bind-libs","9.16.23-40.el9_8.2","CVE-2026-10723, CVE-2026-11331, CVE-2026-11622, CVE-2026-11721, CVE-2026-13204, CVE-2026-13321, CVE-2026-1519, CVE-2026-3039, CVE-2026-5946"
"bind-license","9.16.23-40.el9_8.2","CVE-2026-10723, CVE-2026-11331, CVE-2026-11622, CVE-2026-11721, CVE-2026-13204, CVE-2026-13321, CVE-2026-1519, CVE-2026-3039, CVE-2026-5946"
"bind-utils","9.16.23-40.el9_8.2","CVE-2026-10723, CVE-2026-11331, CVE-2026-11622, CVE-2026-11721, CVE-2026-13204, CVE-2026-13321, CVE-2026-1519, CVE-2026-3039, CVE-2026-5946"
"curl","7.76.1-40.el9","CVE-2025-9086, CVE-2026-1965, CVE-2026-3783, CVE-2026-8286, CVE-2026-9547"
"dracut","057-117.git20260625.el9_8","None"
"dracut-config-generic","057-117.git20260625.el9_8","None"
"dracut-network","057-117.git20260625.el9_8","None"
"dracut-squash","057-117.git20260625.el9_8","None"
"firewalld","1.3.4-18.el9_7","None"
"firewalld-filesystem","1.3.4-18.el9_7","None"
"glib2","2.68.4-19.el9_8.2","CVE-2025-13601, CVE-2025-14087, CVE-2025-14512, CVE-2026-15588, CVE-2026-58010, CVE-2026-58011, CVE-2026-58012, CVE-2026-58013, CVE-2026-58014, CVE-2026-58015, CVE-2026-58016"
"glibc","2.34-274.el9_8","CVE-2026-4046, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"glibc-common","2.34-274.el9_8","CVE-2026-4046, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"glibc-gconv-extra","2.34-274.el9_8","CVE-2026-4046, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"glibc-langpack-en","2.34-274.el9_8","CVE-2026-4046, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"gnutls","3.8.10-4.el9_8","CVE-2025-14831, CVE-2025-9820, CVE-2026-33845, CVE-2026-33846, CVE-2026-3832, CVE-2026-3833, CVE-2026-42009, CVE-2026-42010, CVE-2026-42011, CVE-2026-42012, CVE-2026-42013, CVE-2026-42014, CVE-2026-42015, CVE-2026-5260, CVE-2026-5419"
"insights-core","3.7.7-1.el9_8","None"
"insights-core-selinux","3.7.7-1.el9_8","None"
"iscsi-initiator-utils","6.2.1.11-0.git4b3e853.el9","CVE-2026-44943, CVE-2026-44944"
"iscsi-initiator-utils-iscsiuio","6.2.1.11-0.git4b3e853.el9","CVE-2026-44943, CVE-2026-44944"
"isns-utils-libs","0.101-4.el9","CVE-2026-55995"
