Package Name,Target Version,CVE IDs Fixed
"apport-core-dump-handler","2.28.3-0ubuntu0.1","None"
"apport","2.28.3-0ubuntu0.1","None"
"bind9-dnsutils","1:9.18.39-0ubuntu0.24.04.6","CVE-2026-10723 CVE-2026-10822 CVE-2026-11331 CVE-2026-11622 CVE-2026-11721 CVE-2026-12617 CVE-2026-13321"
"bind9-host","1:9.18.39-0ubuntu0.24.04.6","CVE-2026-10723 CVE-2026-10822 CVE-2026-11331 CVE-2026-11622 CVE-2026-11721 CVE-2026-12617 CVE-2026-13321"
"bind9-libs","1:9.18.39-0ubuntu0.24.04.6","CVE-2026-10723 CVE-2026-10822 CVE-2026-11331 CVE-2026-11622 CVE-2026-11721 CVE-2026-12617 CVE-2026-13321"
"byobu","6.11-0ubuntu1.1","None"
"console-setup-linux","1.226ubuntu1.1","None"
"console-setup","1.226ubuntu1.1","None"
"curl","8.5.0-2ubuntu10.13","CVE-2026-8932"
"distro-info-data","0.72-0ubuntu0.24.04.1","None"
"gawk","1:5.2.1-2ubuntu0.1","CVE-2026-40467 CVE-2026-40468 CVE-2026-40469"
"keyboard-configuration","1.226ubuntu1.1","None"
"krb5-locales","1.20.1-6ubuntu2.8","None"
"libarchive13t64","3.7.2-2ubuntu0.8","CVE-2026-14164 CVE-2026-5745"
"libc-bin","2.39-0ubuntu8.8","CVE-2026-4046 CVE-2026-443 CVE-2026-4437 CVE-2026-4438 CVE-2026-5435 CVE-2026-5450 CVE-2026-5928 CVE-2026-6238"
"libc6","2.39-0ubuntu8.8","CVE-2026-4046 CVE-2026-443 CVE-2026-4437 CVE-2026-4438 CVE-2026-5435 CVE-2026-5450 CVE-2026-5928 CVE-2026-6238"
"libcurl3t64-gnutls","8.5.0-2ubuntu10.13","CVE-2026-8932"
"libcurl4t64","8.5.0-2ubuntu10.13","CVE-2026-8932"
"libgssapi-krb5-2","1.20.1-6ubuntu2.8","None"
"libk5crypto3","1.20.1-6ubuntu2.8","None"
"libkrb5-3","1.20.1-6ubuntu2.8","None"
"libkrb5support0","1.20.1-6ubuntu2.8","None"
"libnss-systemd","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"libpam-modules-bin","1.5.3-5ubuntu5.6","CVE-2026-54411"
"libpam-modules","1.5.3-5ubuntu5.6","CVE-2026-54411"
"libpam-runtime","1.5.3-5ubuntu5.6","CVE-2026-54411"
"libpam-systemd","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"libpam0g","1.5.3-5ubuntu5.6","CVE-2026-54411"
"libsqlite3-0","3.45.1-1ubuntu2.7","CVE-2026-50812 CVE-2026-50813"
"libssl3t64","3.0.13-0ubuntu3.15","CVE-2026-54874 CVE-2026-63072 CVE-2026-63074 CVE-2026-63076 CVE-2026-75803"
"libsystemd-shared","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"libsystemd0","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"libudev1","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"libwbclient0","2:4.19.5+dfsg-4ubuntu9.7","CVE-2026-15779 CVE-2026-58216 CVE-2026-58218 CVE-2026-58221 CVE-2026-58222 CVE-2026-58224 CVE-2026-6949"
"linux-azure","6.17.0-1022.22","None"
"linux-cloud-tools-azure","6.17.0-1022.22","None"
"linux-cloud-tools-common","6.8.0-138.138","CVE-2026-53224 CVE-2026-53246 CVE-2026-53247 CVE-2026-64531"
"linux-headers-azure","6.17.0-1022.22","None"
"linux-image-azure","6.17.0-1022.22","None"
"linux-tools-azure","6.17.0-1022.22","None"
"linux-tools-common","6.8.0-138.138","CVE-2026-53224 CVE-2026-53246 CVE-2026-53247 CVE-2026-64531"
"locales","2.39-0ubuntu8.8","CVE-2026-4046 CVE-2026-443 CVE-2026-4437 CVE-2026-4438 CVE-2026-5435 CVE-2026-5450 CVE-2026-5928 CVE-2026-6238"
"open-vm-tools","2:13.0.10-0ubuntu0.24.04.1","CVE-2025-41244"
"openssl","3.0.13-0ubuntu3.15","CVE-2026-54874 CVE-2026-63072 CVE-2026-63074 CVE-2026-63076 CVE-2026-75803"
"python3-apport","2.28.3-0ubuntu0.1","None"
"python3-problem-report","2.28.3-0ubuntu0.1","None"
"rsyslog","8.2312.0-3ubuntu9.3","CVE-2026-61548"
"snapd","2.76.3+ubuntu24.04","None"
"systemd-dev","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"systemd-resolved","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"systemd-sysv","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"systemd","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"tar","1.35+dfsg-3ubuntu0.4","CVE-2026-5704"
"tzdata-legacy","2026c-0ubuntu0.24.04.1","None"
"tzdata","2026c-0ubuntu0.24.04.1","None"
"udev","255.4-1ubuntu8.17","CVE-2026-15059 CVE-2026-16742"
"vim-common","2:9.1.0016-1ubuntu7.20","CVE-2026-73073"
"vim-runtime","2:9.1.0016-1ubuntu7.20","CVE-2026-73073"
"vim-tiny","2:9.1.0016-1ubuntu7.20","CVE-2026-73073"
"vim","2:9.1.0016-1ubuntu7.20","CVE-2026-73073"
"wget","1.21.4-1ubuntu4.5","CVE-2026-58472"
"xxd","2:9.1.0016-1ubuntu7.20","CVE-2026-73073"
