"Package Name","Target Version","CVE IDs Fixed"
"NetworkManager","1.40.16-20.el8_10","CVE-2026-10805"
"NetworkManager-cloud-setup","1.40.16-20.el8_10","CVE-2026-10805"
"NetworkManager-libnm","1.40.16-20.el8_10","CVE-2026-10805"
"NetworkManager-team","1.40.16-20.el8_10","CVE-2026-10805"
"NetworkManager-tui","1.40.16-20.el8_10","CVE-2026-10805"
"acl","2.2.53-3.el8","CVE-2026-54369, CVE-2026-54370"
"bind-export-libs","9.11.36-16.el8_10.8","CVE-2025-40778, CVE-2026-10723, CVE-2026-11622, CVE-2026-11721, CVE-2026-13204, CVE-2026-13321, CVE-2026-1519, CVE-2026-3039, CVE-2026-5946"
"coreutils","8.30-17.el8_10","None"
"coreutils-common","8.30-17.el8_10","None"
"curl","7.61.1-34.el8_10.11","CVE-2025-9086, CVE-2026-8286"
"dracut","049-244.git20260529.el8_10","None"
"dracut-config-generic","049-244.git20260529.el8_10","None"
"dracut-config-rescue","049-244.git20260529.el8_10","None"
"dracut-network","049-244.git20260529.el8_10","None"
"dracut-squash","049-244.git20260529.el8_10","None"
"firewalld","0.9.11-11.el8_10.alma.1","None"
"firewalld-filesystem","0.9.11-11.el8_10.alma.1","None"
"fwupd","1.7.8-2.el8.alma","None"
"glib2","2.56.4-169.el8_10","CVE-2025-13601, CVE-2025-14087, CVE-2025-14512, CVE-2026-58016"
"glibc","2.28-251.el8_10.38","CVE-2025-15281, CVE-2026-4046, CVE-2026-4437, CVE-2026-4438, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"glibc-common","2.28-251.el8_10.38","CVE-2025-15281, CVE-2026-4046, CVE-2026-4437, CVE-2026-4438, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"glibc-devel","2.28-251.el8_10.38","CVE-2025-15281, CVE-2026-4046, CVE-2026-4437, CVE-2026-4438, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"glibc-gconv-extra","2.28-251.el8_10.38","CVE-2025-15281, CVE-2026-4046, CVE-2026-4437, CVE-2026-4438, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"glibc-headers","2.28-251.el8_10.38","CVE-2025-15281, CVE-2026-4046, CVE-2026-4437, CVE-2026-4438, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"glibc-langpack-en","2.28-251.el8_10.38","CVE-2025-15281, CVE-2026-4046, CVE-2026-4437, CVE-2026-4438, CVE-2026-5435, CVE-2026-5450, CVE-2026-5928"
"grub2-common","2.02-170.el8_10.2.alma.1","CVE-2025-61662"
"grub2-efi-x64","2.02-170.el8_10.2.alma.1","CVE-2025-61662"
"grub2-pc","2.02-170.el8_10.2.alma.1","CVE-2025-61662"
"grub2-pc-modules","2.02-170.el8_10.2.alma.1","CVE-2025-61662"
"grub2-tools","2.02-170.el8_10.2.alma.1","CVE-2025-61662"
"grub2-tools-efi","2.02-170.el8_10.2.alma.1","CVE-2025-61662"
"grub2-tools-extra","2.02-170.el8_10.2.alma.1","CVE-2025-61662"
"grub2-tools-minimal","2.02-170.el8_10.2.alma.1","CVE-2025-61662"
"grubby","8.40-49.el8","None"
"kernel","4.18.0-553.144.1.el8_10","CVE-2024-56602, CVE-2025-39902, CVE-2025-54518, CVE-2026-17523, CVE-2026-43116, CVE-2026-43206, CVE-2026-45991, CVE-2026-46120, CVE-2026-52923, CVE-2026-52991, CVE-2026-53009, CVE-2026-53016, CVE-2026-53136, CVE-2026-53189, CVE-2026-53329, CVE-2026-53374, CVE-2026-63879, CVE-2026-63884, CVE-2026-63887, CVE-2026-63888, CVE-2026-64048, CVE-2026-64219, CVE-2026-64379, CVE-2026-64496, CVE-2026-64530, CVE-2026-68388"
"kernel-core","4.18.0-553.144.1.el8_10","CVE-2024-56602, CVE-2025-39902, CVE-2025-54518, CVE-2026-17523, CVE-2026-43116, CVE-2026-43206, CVE-2026-45991, CVE-2026-46120, CVE-2026-52923, CVE-2026-52991, CVE-2026-53009, CVE-2026-53016, CVE-2026-53136, CVE-2026-53189, CVE-2026-53329, CVE-2026-53374, CVE-2026-63879, CVE-2026-63884, CVE-2026-63887, CVE-2026-63888, CVE-2026-64048, CVE-2026-64219, CVE-2026-64379, CVE-2026-64496, CVE-2026-64530, CVE-2026-68388"
"kernel-headers","4.18.0-553.144.1.el8_10","CVE-2024-56602, CVE-2025-39902, CVE-2025-54518, CVE-2026-17523, CVE-2026-43116, CVE-2026-43206, CVE-2026-45991, CVE-2026-46120, CVE-2026-52923, CVE-2026-52991, CVE-2026-53009, CVE-2026-53016, CVE-2026-53136, CVE-2026-53189, CVE-2026-53329, CVE-2026-53374, CVE-2026-63879, CVE-2026-63884, CVE-2026-63887, CVE-2026-63888, CVE-2026-64048, CVE-2026-64219, CVE-2026-64379, CVE-2026-64496, CVE-2026-64530, CVE-2026-68388"
"kernel-modules","4.18.0-553.144.1.el8_10","CVE-2024-56602, CVE-2025-39902, CVE-2025-54518, CVE-2026-17523, CVE-2026-43116, CVE-2026-43206, CVE-2026-45991, CVE-2026-46120, CVE-2026-52923, CVE-2026-52991, CVE-2026-53009, CVE-2026-53016, CVE-2026-53136, CVE-2026-53189, CVE-2026-53329, CVE-2026-53374, CVE-2026-63879, CVE-2026-63884, CVE-2026-63887, CVE-2026-63888, CVE-2026-64048, CVE-2026-64219, CVE-2026-64379, CVE-2026-64496, CVE-2026-64530, CVE-2026-68388"
"kernel-tools","4.18.0-553.144.1.el8_10","CVE-2024-56602, CVE-2025-39902, CVE-2025-54518, CVE-2026-17523, CVE-2026-43116, CVE-2026-43206, CVE-2026-45991, CVE-2026-46120, CVE-2026-52923, CVE-2026-52991, CVE-2026-53009, CVE-2026-53016, CVE-2026-53136, CVE-2026-53189, CVE-2026-53329, CVE-2026-53374, CVE-2026-63879, CVE-2026-63884, CVE-2026-63887, CVE-2026-63888, CVE-2026-64048, CVE-2026-64219, CVE-2026-64379, CVE-2026-64496, CVE-2026-64530, CVE-2026-68388"
"kernel-tools-libs","4.18.0-553.144.1.el8_10","CVE-2024-56602, CVE-2025-39902, CVE-2025-54518, CVE-2026-17523, CVE-2026-43116, CVE-2026-43206, CVE-2026-45991, CVE-2026-46120, CVE-2026-52923, CVE-2026-52991, CVE-2026-53009, CVE-2026-53016, CVE-2026-53136, CVE-2026-53189, CVE-2026-53329, CVE-2026-53374, CVE-2026-63879, CVE-2026-63884, CVE-2026-63887, CVE-2026-63888, CVE-2026-64048, CVE-2026-64219, CVE-2026-64379, CVE-2026-64496, CVE-2026-64530, CVE-2026-68388"
"libacl","2.2.53-3.el8","CVE-2026-54369, CVE-2026-54370"
"libattr","2.4.48-3.el8","CVE-2026-54371"
"libcurl","7.61.1-34.el8_10.11","CVE-2025-9086, CVE-2026-8286"
"libgcrypt","1.8.5-7.el8_6","CVE-2021-33560, CVE-2021-40528, CVE-2026-41989"
"libnghttp2","1.33.0-6.el8_10.2","CVE-2019-9511, CVE-2019-9513, CVE-2020-11080, CVE-2023-44487, CVE-2024-27316, CVE-2024-28182, CVE-2026-27135, CVE-2026-58055"
"libsss_autofs","2.9.4-5.el8_10.4","CVE-2025-11561, CVE-2026-14474, CVE-2026-14476"
"libsss_certmap","2.9.4-5.el8_10.4","CVE-2025-11561, CVE-2026-14474, CVE-2026-14476"
"libsss_idmap","2.9.4-5.el8_10.4","CVE-2025-11561, CVE-2026-14474, CVE-2026-14476"
"libsss_nss_idmap","2.9.4-5.el8_10.4","CVE-2025-11561, CVE-2026-14474, CVE-2026-14476"
"libsss_sudo","2.9.4-5.el8_10.4","CVE-2025-11561, CVE-2026-14474, CVE-2026-14476"
"libxmlb","0.1.15-1.el8","None"
"linux-firmware","20260608-140.git4ae4d61b.el8_10","None"
"microcode_ctl","20260227-1.el8_10","CVE-2023-22655, CVE-2023-23583, CVE-2023-28746, CVE-2023-34440, CVE-2023-38575, CVE-2023-39368, CVE-2023-42667, CVE-2023-43490, CVE-2023-43758, CVE-2023-45733, CVE-2023-46103, CVE-2023-49141, CVE-2024-21820, CVE-2024-21853, CVE-2024-23918, CVE-2024-23984, CVE-2024-24582, CVE-2024-24853, CVE-2024-24968, CVE-2024-24980, CVE-2024-25939, CVE-2024-28047, CVE-2024-28127, CVE-2024-28956, CVE-2024-29214, CVE-2024-31068, CVE-2024-31157, CVE-2024-36293, CVE-2024-37020, CVE-2024-39279, CVE-2024-39355, CVE-2024-43420, CVE-2024-45332, CVE-2025-20012, CVE-2025-20054, CVE-2025-20103, CVE-2025-20623, CVE-2025-24495"
"nftables","1.0.4-7.el8_10","None"
"omi","1.9.3-0","None"
"openssh","8.0p1-29.el8_10","CVE-2020-15778, CVE-2025-26465, CVE-2025-61984, CVE-2025-61985, CVE-2026-3497, CVE-2026-35385, CVE-2026-35386, CVE-2026-35387, CVE-2026-35388, CVE-2026-35414, CVE-2026-55653, CVE-2026-55655"
"openssh-clients","8.0p1-29.el8_10","CVE-2020-15778, CVE-2025-26465, CVE-2025-61984, CVE-2025-61985, CVE-2026-3497, CVE-2026-35385, CVE-2026-35386, CVE-2026-35387, CVE-2026-35388, CVE-2026-35414, CVE-2026-55653, CVE-2026-55655"
"openssh-server","8.0p1-29.el8_10","CVE-2020-15778, CVE-2025-26465, CVE-2025-61984, CVE-2025-61985, CVE-2026-3497, CVE-2026-35385, CVE-2026-35386, CVE-2026-35387, CVE-2026-35388, CVE-2026-35414, CVE-2026-55653, CVE-2026-55655"
"pam","1.3.1-39.el8_10","CVE-2024-10041, CVE-2024-10963, CVE-2024-22365, CVE-2025-6020, CVE-2026-54411"
"platform-python","3.6.8-77.el8_10.alma.1","CVE-2024-12718, CVE-2025-0938, CVE-2025-12084, CVE-2025-15366, CVE-2025-15367, CVE-2025-4138, CVE-2025-4330, CVE-2025-4435, CVE-2025-4517, CVE-2025-8194, CVE-2026-0865, CVE-2026-11940, CVE-2026-1299, CVE-2026-15308, CVE-2026-4519, CVE-2026-4786, CVE-2026-6100"
"python3-firewall","0.9.11-11.el8_10.alma.1","None"
"python3-idna","2.5-7.el8_10","CVE-2024-3651, CVE-2026-45409"
"python3-libs","3.6.8-77.el8_10.alma.1","CVE-2024-12718, CVE-2025-0938, CVE-2025-12084, CVE-2025-15366, CVE-2025-15367, CVE-2025-4138, CVE-2025-4330, CVE-2025-4435, CVE-2025-4517, CVE-2025-8194, CVE-2026-0865, CVE-2026-11940, CVE-2026-1299, CVE-2026-15308, CVE-2026-4519, CVE-2026-4786, CVE-2026-6100"
"python3-nftables","1.0.4-7.el8_10","None"
"python3-perf","4.18.0-553.144.1.el8_10","CVE-2024-56602, CVE-2025-39902, CVE-2025-54518, CVE-2026-17523, CVE-2026-43116, CVE-2026-43206, CVE-2026-45991, CVE-2026-46120, CVE-2026-52923, CVE-2026-52991, CVE-2026-53009, CVE-2026-53016, CVE-2026-53136, CVE-2026-53189, CVE-2026-53329, CVE-2026-53374, CVE-2026-63879, CVE-2026-63884, CVE-2026-63887, CVE-2026-63888, CVE-2026-64048, CVE-2026-64219, CVE-2026-64379, CVE-2026-64496, CVE-2026-64530, CVE-2026-68388"
"python3-pyasn1","0.3.7-6.el8_10.1","CVE-2026-59886"
"python3-unbound","1.16.2-5.12.el8_10","CVE-2024-1488, CVE-2024-8508, CVE-2025-5994, CVE-2026-40622, CVE-2026-41292, CVE-2026-42534, CVE-2026-42944, CVE-2026-42959, CVE-2026-44390, CVE-2026-44690"
"scx","1.9.3-0","None"
"sg3_utils","1.44-6.el8","None"
"sg3_utils-libs","1.44-6.el8","None"
"sqlite-libs","3.26.0-20.el8_10","CVE-2019-13750, CVE-2019-13751, CVE-2019-19603, CVE-2019-19645, CVE-2019-19880, CVE-2019-5827, CVE-2020-13434, CVE-2020-13435, CVE-2020-15358, CVE-2020-35525, CVE-2020-35527, CVE-2022-24736, CVE-2022-35737, CVE-2023-7104, CVE-2025-6965, CVE-2026-11822, CVE-2026-11824"
