Package Name,Target Version,CVE IDs Fixed
"dnsmasq-base","2.91-0ubuntu0.22.04.1","None"
"libc-bin","2.35-0ubuntu3.15","CVE-2026-19542 CVE-2026-6368 CVE-2026-6791 CVE-2026-77117 CVE-2026-80489"
"libc-dev-bin","2.35-0ubuntu3.15","CVE-2026-19542 CVE-2026-6368 CVE-2026-6791 CVE-2026-77117 CVE-2026-80489"
"libc6-dev","2.35-0ubuntu3.15","CVE-2026-19542 CVE-2026-6368 CVE-2026-6791 CVE-2026-77117 CVE-2026-80489"
"libc6","2.35-0ubuntu3.15","CVE-2026-19542 CVE-2026-6368 CVE-2026-6791 CVE-2026-77117 CVE-2026-80489"
"libperl5.34","5.34.0-3ubuntu1.9","CVE-2026-15534 CVE-2026-19487"
"libpython3.10-dev","3.10.12-1~22.04.18","CVE-2026-15308 CVE-2026-4360"
"libpython3.10-minimal","3.10.12-1~22.04.18","CVE-2026-15308 CVE-2026-4360"
"libpython3.10-stdlib","3.10.12-1~22.04.18","CVE-2026-15308 CVE-2026-4360"
"libpython3.10","3.10.12-1~22.04.18","CVE-2026-15308 CVE-2026-4360"
"locales","2.35-0ubuntu3.15","CVE-2026-19542 CVE-2026-6368 CVE-2026-6791 CVE-2026-77117 CVE-2026-80489"
"perl-base","5.34.0-3ubuntu1.9","CVE-2026-15534 CVE-2026-19487"
"perl-modules-5.34","5.34.0-3ubuntu1.9","CVE-2026-15534 CVE-2026-19487"
"perl","5.34.0-3ubuntu1.9","CVE-2026-15534 CVE-2026-19487"
"python3.10-dev","3.10.12-1~22.04.18","CVE-2026-15308 CVE-2026-4360"
"python3.10-minimal","3.10.12-1~22.04.18","CVE-2026-15308 CVE-2026-4360"
"python3.10","3.10.12-1~22.04.18","CVE-2026-15308 CVE-2026-4360"
"snapd","2.76.3+ubuntu22.04","None"
"ubuntu-core-launcher","2.76.3+ubuntu22.04","None"
