ACCOUNT: 
TechSpec Version: 2.0 
Customisation Date: 2026-07-22 
Scan Version: 2.0
FQDN:afs-vm-eastus-elastic-az1-ml-p01.jphjhwchgmwurgklsgogdo0e3h.bx.internal.cloudapp.net 
IP-ADDRESS:192.168.0.7/26 
OS-NAME: RedHatLinux9.8 
Scan-Date: 2026-07-22
Time-Stamp: 08:53:06
********************************************************
SECTION-ID|SECTION-HEADING|SYSTEM-VALUE/PARAMETER|CURRENT-VALUE|TEST-RESULT
IZ1.C.1.1.1|Initial Setup|Ensure system-wide crypto policy is not legacy.|The system-wide crypto policy is not LEGACY |Yes
IZ1.C.1.1.1.1|Initial Setup / Filesystem Configuration.|Disable USB Storage.|USB Storage Disabled. |Yes
IZ1.C.1.1.2.1|Initial Setup/Filesystem Configuration/Configure /tmp.|Ensure /tmp is a separate partition.|/tmp is a separate partition. |Yes
IZ1.C.1.1.2.1|Initial Setup/Filesystem Configuration/Configure /tmp.|Ensure /tmp is a separate partition.|Systemd will mount /tmp at boot time(status: generated) |Yes
IZ1.C.1.1.2.2|Initial Setup/Filesystem Configuration/Configure /tmp|Ensure nodev option set on /tmp partition.|nodev option is not set for /tmp.|No
IZ1.C.1.1.2.3|Initial Setup/Filesystem Configuration/Configure /tmp|Ensure noexec option set on /tmp partition.|noexec option is not set for /tmp|No
IZ1.C.1.1.2.4|Initial Setup/Filesystem Configuration/Configure /tmp|Ensure nosuid option set on /tmp partition.|nosuid option is not set for /tmp|No
IZ1.C.1.1.3.2|Initial Setup/Filesystem Configuration/Configure /var |Ensure nodev option set on /var partition|nodev option is set for /var|Yes
IZ1.C.1.1.3.3|Initial Setup/Filesystem Configuration/Configure /var |Ensure nosuid option set on /var partition.|nosuid option is set for /var|Yes
IZ1.C.1.1.4.2|Initial Setup/Filesystem Configuration/Configure /var/tmp|Ensure noexec option set on /var/tmp partition.|/var/tmp is not a separate partition.|Not Applicable
IZ1.C.1.1.4.3|Initial Setup/Filesystem Configuration/Configure /var/tmp|Ensure nosuid option set on /var/tmp partition.|/var/tmp is not a separate partition.|Not Applicable
IZ1.C.1.1.4.4|Initial Setup/Filesystem Configuration/Configure /var/tmp|Ensure nodev option set on /var/tmp partition.|/var/tmp is not a separate partition.|Not Applicable
IZ1.C.1.1.5.2|Initial Setup/Filesystem Configuration/Configure /var/log|Ensure nodev option set on /var/log partition.|/var/log is not a separate partition.|Not Applicable
IZ1.C.1.1.5.3|Initial Setup/Filesystem Configuration/Configure /var/log|Ensure noexec option set on /var/log partition.|/var/log is not a separate partition.|Not Applicable
IZ1.C.1.1.5.4|Initial Setup/Filesystem Configuration/Configure /var/log|Ensure nosuid option set on /var/log partition.|/var/log is not a separate partition.|Not Applicable
IZ1.C.1.1.6.2|Initial Setup/Filesystem Configuration/Configure /var/log/audit|Ensure noexec option set on /var/log/audit partition.|/var/log/audit is not a separate partition.|Not Applicable
IZ1.C.1.1.6.3|Initial Setup/Filesystem Configuration/Configure /var/log/audit|Ensure nodev option set on /var/log/audit partition.|/var/log/audit is not a separate partition.|Not Applicable
IZ1.C.1.1.6.4|Initial Setup/Filesystem Configuration/Configure /var/log/audit|Ensure nosuid option set on /var/log/audit partition.|/var/log/audit is not a separate partition.|Not Applicable
IZ1.C.1.1.7.2|Initial Setup/Filesystem Configuration/Configure /home |Ensure nodev option set on /home partition.|nodev option is set for /home|Yes
IZ1.C.1.1.7.3|Initial Setup/Filesystem Configuration/Configure /home |Ensure nosuid option set on /home partition.|nosuid option is set for /home|Yes
IZ1.C.1.1.8.1|Initial Setup/Filesystem Configuration/Configure /dev/shm.|Ensure /dev/shm is a separate partition.|/dev/shm is a separate partition. |Yes
IZ1.C.1.1.8.2|Initial Setup/Filesystem Configuration/Configure /dev/shm |Ensure nodev option set on /dev/shm partition.|nodev option is set for /dev/shm|Yes
IZ1.C.1.1.8.3|Initial Setup/Filesystem Configuration/Configure /dev/shm |Ensure noexec option set on /dev/shm partition.|noexec option is set for /dev/shm|Yes
IZ1.C.1.1.8.4|Initial Setup/Filesystem Configuration/Configure /dev/shm |Ensure nosuid option set on /dev/shm partition.|nosuid option is set for /dev/shm|Yes
IZ1.C.1.2.1|Initial Setup/Configure Software Updates.|Ensure gpgcheck is globally activated.|gpgcheck is globally activated.|Yes
IZ1.C.1.2.1|Initial Setup/Configure Software Updates.|Ensure gpgcheck is globally activated.|No instances of gpgcheck set to 0 or invalid values in /etc/yum.repos.d/ |Yes
IZ1.C.1.3.1|Initial Setup/Filesystem Integrity Checking.|Ensure AIDE is installed.|package aide is installed|Yes
IZ1.C.1.3.2|Initial Setup/Filesystem Integrity Checking..|Ensure filesystem integrity is regularly checked.|The aide check is not scheduled in cron jobs|No
IZ1.C.1.3.3|Initial Setup/Filesystem Integrity Checking.|Ensure cryptographic mechanisms are used to protect the integrity of audit tools.|AIDE is configured correctly /sbin/auditctl p+i+n+u+g+s+b+acl+xattrs+sha512|Yes
IZ1.C.1.3.3|Initial Setup/Filesystem Integrity Checking.|Ensure cryptographic mechanisms are used to protect the integrity of audit tools.|AIDE is configured correctly /sbin/auditd p+i+n+u+g+s+b+acl+xattrs+sha512|Yes
IZ1.C.1.3.3|Initial Setup/Filesystem Integrity Checking.|Ensure cryptographic mechanisms are used to protect the integrity of audit tools.|AIDE is configured correctly /sbin/ausearch p+i+n+u+g+s+b+acl+xattrs+sha512|Yes
IZ1.C.1.3.3|Initial Setup/Filesystem Integrity Checking.|Ensure cryptographic mechanisms are used to protect the integrity of audit tools.|AIDE is configured correctly /sbin/aureport p+i+n+u+g+s+b+acl+xattrs+sha512|Yes
IZ1.C.1.3.3|Initial Setup/Filesystem Integrity Checking.|Ensure cryptographic mechanisms are used to protect the integrity of audit tools.|AIDE is configured correctly /sbin/autrace p+i+n+u+g+s+b+acl+xattrs+sha512|Yes
IZ1.C.1.3.3|Initial Setup/Filesystem Integrity Checking.|Ensure cryptographic mechanisms are used to protect the integrity of audit tools.|AIDE is configured correctly /sbin/augenrules p+i+n+u+g+s+b+acl+xattrs+sha512|Yes
IZ1.C.1.4.1|Initial Setup/Secure Boot Settings.|Ensure bootloader password is set.|Bootloader password is not set|No
IZ1.C.1.4.2|Initial Setup/Secure Boot Settings.|Ensure permissions on bootloader config are configured.|Permissions for /boot/grub2/grub.cfg are incorrect. Expected: 700 0 0, Got: |No
IZ1.C.1.4.2|Initial Setup/Secure Boot Settings.|Ensure permissions on bootloader config are configured.|Permissions for /boot/grub2/grubenv are correct.|Yes
IZ1.C.1.4.2|Initial Setup/Secure Boot Settings.|Ensure permissions on bootloader config are configured.|/boot/grub2/user.cfg does not exist|No
IZ1.C.1.5.1|Initial Setup/Additional Process Hardening.|Ensure core dump storage is disabled.|Core dump storage is disabled.|Yes
IZ1.C.1.5.2|Initial Setup/Additional Process Hardening.|Ensure core dump backtraces are disabled.|Core dump backtraces are disabled.|Yes
IZ1.C.1.5.3|Initial Setup/Additional Process Hardening.|Ensure address space layout randomization (ASLR) is enabled.|Address space layout randomization (ASLR) is enabled.|Yes
IZ1.C.1.6.2|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure SELinux is installed.|SELinux is installed |Yes
IZ1.C.1.6.3|Initial Setup/Mandatory Access Control/Configure SELinux|Ensure SELinux is not disabled in bootloader configuration.|SELinux is not disabled in bootloader configuration|Yes
IZ1.C.1.6.4|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure SELinux policy is configured.|Verified using command SELinux policy is enabled. |Yes
IZ1.C.1.6.4|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure SELinux policy is configured.|Verified using config file SELinux policy is enabled|Yes
IZ1.C.1.6.5|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure the SELinux mode is not disabled.|Verified using command SELinux policy is enabled. |Yes
IZ1.C.1.6.5|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure the SELinux mode is not disabled.|Verified using config file SELinux policy is enabled. |Yes
IZ1.C.1.6.7|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure SETroubleshoot is not installed.|SETroubleshoot is not installed|Yes
IZ1.C.1.6.8|Initial Setup/Mandatory Access Control/Configure SELinux.|Ensure the MCS Translation Service (mcstrans) is not installed.|MCS Translation Service is not installed.|Yes
IZ1.C.1.7.1|Initial Setup/Command Line Warning Banners.|Ensure message of the day is configured properly|The message is configured correctly in /etc/motd|Yes
IZ1.C.1.7.2|Initial Setup/Command Line Warning Banners.|Ensure local login warning banner is configured properly.|The message is configured correctly in /etc/issue|Yes
IZ1.C.1.7.3|Initial Setup/Command Line Warning Banners.|Ensure remote login warning banner is configured properly.|The message is configured correctly in /etc/issue.net|Yes
IZ1.C.1.7.4|Initial Setup/Command Line Warning Banners.|Ensure permissions on /etc/motd are configured.|Permissions on /etc/motd are configured correctly.|Yes
